activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
98,"3,545",Arabian Police Horses and Last-Minute Farm Rescues,Euro,of €100k goal,(1135),93,4%,"Years running
					,
				",3,89
7,103,NELL needs your help to get out of the shelter,Euro,of €463 goal,(8),7,22%,"Days running
					,
				",50,0
2,120,"Little blaky has demodeks and a wound on his back, he needs help",Euro,of €120 goal,(6),2,100%,"Days running
					,
				",86,0
136,"6,222",Ibb Zoo Yemen Emergency Rescue Mission,Euro,of €10k goal,(1175),132,62%,"Years running
					,
				",2,102
7,510,Training funds for SDIT Indus,U.S. Dollar,of $10k goal,(1),7,5%,"Days running
					,
				",48,0
7,810,Help Griffin Walk!,U.S. Dollar,of $3.5k goal,(4),7,23%,"Days running
					,
				",68,1
8,340,Please help to cover vetting bills for 2 rescued dogs and 3 cats,U.S. Dollar,of $330 goal,(2),8,103%,"days left
					,
				",0,0
13,375,Disabled dogs in Greece,Euro,of €450 goal,(21),13,83%,"Weeks running
					,
				",31,1
13,350,Let s give Lupin his chance of happiness !,Euro,of €400 goal,(4),13,88%,"Weeks running
					,
				",31,1
10,171,Please help us. We need help feeding 70+ Egyptian street dogs.,Pound Sterling,of £170 goal,(4),10,101%,"Weeks running
					,
				",40,0
6,205,Overpopulation of Stray Potbelly Pigs in Puerto Rico,U.S. Dollar,of $1k goal,(1),6,21%,"Weeks running
					,
				",49,0
28,"1,085",Trophy Club Animals Needs Your HELP,U.S. Dollar,of $500 goal,(1),28,217%,"Years running
					,
				",5,1
166,"7,683",Death or Deliverance: they only have us! OWAP-AR N-P. Assoc.,Euro,of €24.9k goal,(771),154,31%,"Years running
					,
				",3,102
2,220,Please help to cover training and rehabilitation cost for Zeena and Zuzu,U.S. Dollar,of $200 goal,(2),2,110%,"days left
					,
				",0,1
2,100,Help Mr Beau Vine Get To The USA!,U.S. Dollar,of $1k goal,(4),2,10%,"Weeks running
					,
				",39,1
29,"6,312",Help us help those who can`t ask for help..,U.S. Dollar,of $2k goal,(1),28,316%,"Years running
					,
				",7,0
14,300,Please help Yasmin to find her forever home,U.S. Dollar,of $300 goal,(2),14,100%,"days left
					,
				",0,1
5,100,Please help Emmy get the surgery she URGENTLY needs,U.S. Dollar,of $6k goal,(1),5,2%,"Weeks running
					,
				",46,0
1,100,Please help with Rudy’s medical expenses.,U.S. Dollar,of $3k goal,(1),1,3%,"Weeks running
					,
				",59,0
11,223,Help 3 kittens fly to their new life in the uk,Euro,of €400 goal,(20),11,56%,"days left
					,
				",0,2
48,"5,075",Lucky Dog Rescue Online Summer Fundraiser!,U.S. Dollar,of $5k goal,(2),48,101%,"Years running
					,
				",4,0
1,100,Pig house and Fencing for Wibo Animal Sanctuary,Australian Dollar,of $3k goal,(1),1,3%,"Weeks running
					,
				",52,0
8,355,Shelter and vet clinic animals need help!,Euro,of €2k goal,(2),8,18%,"Weeks running
					,
				",53,0
10,200,I need help for 13 year old stray dog attacked by owner's pit bull,Euro,of €200 goal,(17),8,100%,"Weeks running
					,
				",54,6
1,100,Neurosurgical brain operation is needed,U.S. Dollar,of $1.9k goal,(2),1,5%,"Weeks running
					,
				",53,2
5,120,Pay Natasha's boarding while awaiting transport!,U.S. Dollar,of $230 goal,(1),5,52%,"Years running
					,
				",3,0
2,310,Please help us with expenses for dogs,U.S. Dollar,of $2.4k goal,(1),2,13%,"Weeks running
					,
				",50,0
26,"2,020",Please protect my horses from further Lion attacks,Pound Sterling,of £5k goal,(16),26,40%,"Weeks running
					,
				",59,12
21,345,HELP ME FEED THE STRAY CATS,Euro,of €400 goal,(19),20,86%,"days left
					,
				",0,8
14,745,Please help the Friends of Albion's Animals,U.S. Dollar,of $2k goal,(1),13,37%,"Years running
					,
				",4,0
10,520,Help Give Sweet Vinnie the Care She Deserves <3,Canadian Dollar,of $500 goal,(1),10,104%,"Years running
					,
				",2,0
11,250,"Please support Gray, Nera and Rocky to stay safe!!",Euro,of €250 goal,(7),11,100%,"Weeks running
					,
				",62,0
88,"5,783",The Voiceless Dogs of Pawtcake refuge Sept 2018,U.S. Dollar,of $7k goal,(9),87,83%,"days left
					,
				",0,2
4,247,Help for Furries September costs,Euro,of €728 goal,(14),4,34%,"Weeks running
					,
				",62,0
13,170,Please help feed 70+ Egyptian rescue dogs for 1mth,Pound Sterling,of £170 goal,(1),12,100%,"Weeks running
					,
				",68,0
11,324,Help the Suffering Cats of Chania,Euro,of €864 goal,(23),11,38%,"Weeks running
					,
				",64,0
4,370,Doofus needs you for the breath of life!,U.S. Dollar,of $500 goal,(8),4,74%,"Weeks running
					,
				",59,6
14,"1,001",Kennedy Park Kittens– Help Peru’s most famous cats,U.S. Dollar,of $1k goal,(2),14,100%,"Years running
					,
				",4,1
15,"1,010",Reunite Roxie with her human,Pound Sterling,of £2.5k goal,(5),15,40%,"Weeks running
					,
				",70,2
